Periodo,IGAE
Jan-20,112.32
Feb-20,108.75
Mar-20,109.9
Apr-20,88.18
May-20,88.93
Jun-20,97.86
Jul-20,102.17
Aug-20,102.71
Sep-20,103.22
Oct-20,109.12
Nov-20,110.91
Dec-20,110.69
Jan-21,105.38
Feb-21,102.64
Mar-21,111.48
Apr-21,107.93
May-21,111.98
Jun-21,111.11
Jul-21,109.85
Aug-21,107.15
Sep-21,104.13
Oct-21,108.36
Nov-21,112.69
Dec-21,112.15
Jan-22,107.23
